ISO country code,Country,World region,Multidimensional Poverty Index (MPI) National,Urban Population shares,Rural Population shares,Multidimensional Poverty Index (MPI = H*A) Rural,Headcount ratio: Population in multidimensional poverty (H) Rural,Intensity of deprivation among the poor (A) Rural,Population vulnerable to poverty (who experience 20-33.32% intensity of deprivations) Rural,Population in severe poverty (with intensity higher than 50%) Rural
KAZ,Kazakhstan,Europe and Central Asia,0,53.2,46.8,0,0.1,33.3,1.5,0
MNE,Montenegro,Europe and Central Asia,0.001,62.6,37.4,0,0.1,41.1,6.1,0
TKM,Turkmenistan,Europe and Central Asia,0.001,38.6,61.4,0.001,0.3,34.3,2.8,0
ARM,Armenia,Europe and Central Asia,0.001,61.7,38.3,0.001,0.4,36.9,7.2,0
BIH,Bosnia and Herzegovina,Europe and Central Asia,0.002,34.2,65.8,0.002,0.4,38,5.2,0
BRB,Barbados,Latin America and Caribbean,0.003,62.6,37.4,0.002,0.6,34.3,0.1,0
SRB,Serbia,Europe and Central Asia,0.001,59.1,40.9,0.002,0.5,40.3,5.5,0.2
KGZ,Kyrgyzstan,Europe and Central Asia,0.002,31.6,68.4,0.003,0.7,37.1,6.9,0.1
PSE,"Palestine, State ofa",Arab States,0.004,74.5,16.6,0.003,0.9,36.2,2.6,0
MDA,"Moldova, Republic of",Europe and Central Asia,0.003,36.1,63.9,0.003,1,34.7,5.7,0
LCA,Saint Lucia,Latin America and Caribbean,0.003,18.8,81.2,0.004,1,35.2,0.9,0
THA,Thailand,East Asia and the Pacific,0.003,41.9,58.1,0.004,1.1,36.5,9.6,0
MKD,"Macedonia, The former Yugoslav Republic of",Europe and Central Asia,0.002,55.7,44.3,0.004,1.2,35.5,5.2,0
UKR,Ukraine,Europe and Central Asia,0.004,72.1,27.9,0.006,1.8,36.3,0.9,0
JOR,Jordan,Arab States,0.006,81.8,18.2,0.007,1.8,36.2,1.6,0
ALB,Albania,Europe and Central Asia,0.005,45.1,54.9,0.007,1.9,37.7,11,0.1
JAM,Jamaica,Latin America and Caribbean,0.007,50.4,49.6,0.01,2.5,38.7,12.1,0.2
UZB,Uzbekistan,Europe and Central Asia,0.008,31.2,68.8,0.01,2.9,36.6,10.9,0.1
DZA,Algeria,Arab States,0.006,63.3,36.7,0.011,2.7,40,8.1,0.4
TUN,Tunisia,Arab States,0.004,65.8,34.2,0.012,3.2,38.7,8.3,0.2
MEX,Mexico,Latin America and Caribbean,0.005,76.6,23.4,0.014,3.4,41.1,9.6,0.6
EGY,Egypt,Arab States,0.014,37.2,62.8,0.017,4.4,38.5,8,0.5
GUY,Guyana,Latin America and Caribbean,0.013,26.1,73.9,0.017,4.3,40.4,7,0.7
TTO,Trinidad and Tobago,Latin America and Caribbean,0.02,16.6,83.4,0.02,5.7,35.4,0.5,0.3
SYR,Syrian Arab Republic,Arab States,0.016,54.8,45.2,0.023,6,38.5,9.1,0.7
MDV,Maldives,South Asia,0.018,31.1,68.9,0.024,6.8,35.8,6.4,0.4
BLZ,Belize,Latin America and Caribbean,0.018,43.8,56.2,0.028,7,39.9,9.7,1
CHN,China,East Asia and the Pacific,0.017,55.2,44.5,0.028,6.7,42.1,24.4,0.6
ECU,Ecuador,Latin America and Caribbean,0.013,67.5,32.5,0.03,7.7,39.3,12.5,1
AZE,Azerbaijan,Europe and Central Asia,0.021,55,45,0.035,8.8,40.2,17.7,1.2
VNM,Viet Nam,East Asia and the Pacific,0.029,31.9,68.1,0.036,8.8,41.4,4.2,1.7
DOM,Dominican Republic,Latin America and Caribbean,0.034,75,25,0.048,11.7,41,7.8,2.1
SLV,El Salvador,Latin America and Caribbean,0.026,61,39,0.052,12.5,41.8,15.2,3
BRA,Brazil,Latin America and Caribbean,0.021,85,15,0.054,12,45.1,24.2,2.8
COL,Colombia,Latin America and Caribbean,0.022,74.6,25.4,0.061,14.4,42.6,18.4,3.6
SUR,Suriname,Latin America and Caribbean,0.024,71.3,28.7,0.063,14.9,42.3,10.5,3.4
TJK,Tajikistan,Europe and Central Asia,0.054,24,76,0.065,15.6,41.3,25,3.2
ZAF,South Africa,Sub-Saharan Africa,0.036,58.9,41.1,0.068,17.2,39.7,25,2
PHL,Philippines,East Asia and the Pacific,0.052,48,52,0.068,13.7,49.9,9.2,7.2
SWZ,Swaziland,Sub-Saharan Africa,0.066,26.4,73.6,0.083,19.8,41.7,26.3,4.3
IRQ,Iraq,Arab States,0.045,69.4,30.6,0.083,20.5,40.6,13.4,4.3
IDN,Indonesia,East Asia and the Pacific,0.066,49.8,50.2,0.093,20.7,45,10.9,7
MNG,Mongolia,East Asia and the Pacific,0.041,63.3,36.7,0.093,22.2,42,36.6,2.8
STP,Sao Tome and Principe,Sub-Saharan Africa,0.081,66.7,33.3,0.11,26.2,42.1,22.9,5.5
PER,Peru,Latin America and Caribbean,0.043,68.6,31.4,0.113,27.1,41.6,27.2,5.5
HND,Honduras,Latin America and Caribbean,0.072,48.1,51.9,0.119,25.7,46.5,29.7,7.2
MAR,Morocco,Arab States,0.067,54.8,45.2,0.139,31.2,44.4,22,10
NPL,Nepal,South Asia,0.126,17.4,82.6,0.147,33.1,44.2,18.1,11.2
NIC,Nicaragua,Latin America and Caribbean,0.072,57.6,42.4,0.15,32.8,45.8,22.4,11.8
VUT,Vanuatu,East Asia and the Pacific,0.129,22.8,77.2,0.155,36.1,43,38.4,7.9
BTN,Bhutan,South Asia,0.119,28.3,71.7,0.159,36,44.2,21,11.6
GTM,Guatemala,Latin America and Caribbean,0.113,42.3,57.7,0.161,35.1,45.9,25,12.7
MMR,Myanmar,East Asia and the Pacific,0.134,26.5,73.5,0.168,37.5,44.8,24.2,11.9
KHM,Cambodia,East Asia and the Pacific,0.146,16.3,83.7,0.169,38.1,44.5,23,12.5
LSO,Lesotho,Sub-Saharan Africa,0.14,28.7,71.3,0.179,40.4,44.3,29.8,11.5
